# A small subset of urban_forest.csv
CoM ID,Common Name,Diameter Breast Height,Year Planted,Age Description,Useful Life Expectancy,Located In,Latitude,Longitude
1359615,"London Plane",16,2009,"Juvenile","1-5 years (<50% canopy)","Street",-37.8125456009236,144.943748874128
1287101,"Japanese Zelkova",12,2008,"Semi-Mature","21-30 years","Street",-37.7780036853867,144.939683263202
1440349,"Lemon Scented Gum",8,2009,"Juvenile","61+ years","Street",-37.7914011108446,144.927761499333
1290005,"Japanese Zelkova",20,2008,"Semi-Mature","21-30 years","Street",-37.7944468206476,144.939461934588
1067834,"Japanese Zelkova",18,2006,"Semi-Mature","31-60 years","Street",-37.7933076384757,144.919323385293
1358604,"London Plane",27,2009,"Semi-Mature","21-30 years","Street",-37.8186448073915,144.948324628236
1287108,"Lemon Scented Gum",12,2008,"Juvenile","31-60 years","Street",-37.7780791475727,144.939036153758
1066890,"Japanese Zelkova",17,2006,"Semi-Mature","21-30 years","Street",-37.7954242507918,144.923843965271
1287093,"Japanese Zelkova",12,2008,"Semi-Mature","21-30 years","Street",-37.7777426731796,144.939202409153
1358352,"London Plane",10,2009,"Juvenile","11-20 years","Street",-37.818647800701,144.94748809968
1289639,"Peppercorn Tree",51,2008,"Mature","31-60 years","Street",-37.7895741339873,144.927391249713
1456656,"London Plane",2,2010,"New","31-60 years","Street",-37.808000024488,144.965895929417
1359154,"Peppercorn Tree",21,2009,"Semi-Mature","31-60 years","Park",-37.8188679254085,144.943623072498
1070046,"Peppercorn Tree",23,2006,"Semi-Mature","31-60 years","Park",-37.7950753874878,144.917045196974
1289984,"Japanese Zelkova",12,2008,"Semi-Mature","6-10 years (<50% canopy)","Street",-37.7954230232919,144.940124151805
1067787,"London Plane",11,2006,"Juvenile","31-60 years","Street",-37.7929552433627,144.917873214866
1067797,"London Plane",29,2006,"Semi-Mature","21-30 years","Street",-37.7925106117074,144.918765792411
1067747,"London Plane",20,2006,"Semi-Mature","21-30 years","Street",-37.7940730734906,144.917038372575
1358764,"London Plane",14,2009,"Semi-Mature","1-5 years (<50% canopy)","Street",-37.8201714074731,144.949934377959
1069583,"Japanese Zelkova",7,2006,"Juvenile","31-60 years","Street",-37.8483277968421,144.984112605263
1287033,"Lemon Scented Gum",5,2008,"Juvenile","61+ years","Park",-37.7790457866777,144.962137736354
1456322,"Japanese Zelkova",2,2010,"New","31-60 years","Street",-37.8120454346005,144.98646163603
1440247,"Lemon Scented Gum",2,2009,"New","61+ years","Park",-37.7962222690472,144.94548898713
1289920,"Peppercorn Tree",14,2008,"Juvenile","61+ years","Park",-37.7897558958185,144.924525341884
1359251,"Peppercorn Tree",32,2009,"Semi-Mature","31-60 years","Park",-37.8185410757533,144.944696925691
1069557,"Japanese Zelkova",4,2006,"Juvenile","1-5 years (<50% canopy)","Street",-37.8478017342339,144.980970739568
1288212,"Lemon Scented Gum",8,2008,"Juvenile","61+ years","Park",-37.8171249988777,144.989788401575
1069943,"London Plane",20,2006,"Semi-Mature","21-30 years","Street",-37.7951792120521,144.918712476158
1069962,"Japanese Zelkova",17,2006,"Semi-Mature","6-10 years (<50% canopy)","Street",-37.7952566599326,144.920005054852
1064980,"Lemon Scented Gum",22,2006,"Semi-Mature","61+ years","Park",-37.8295903980191,144.9647961596
1070822,"Lemon Scented Gum",6,2006,"Juvenile","61+ years","Street",-37.7972439786247,144.940909770753
1358742,"London Plane",14,2009,"Semi-Mature","1-5 years (<50% canopy)","Street",-37.820023215187,144.951231625498
1358432,"Lemon Scented Gum",13,2009,"Semi-Mature","61+ years","Park",-37.8203314449717,144.947559492742
1455399,"Lemon Scented Gum",3,2010,"New","61+ years","Park",-37.8278716157702,144.973480569432
1289980,"Japanese Zelkova",14,2008,"Semi-Mature","6-10 years (<50% canopy)","Street",-37.7950692951092,144.940179857638
1287357,"Lemon Scented Gum",12,2008,"Juvenile","61+ years","Street",-37.8094387284096,144.947101605904
1359143,"Peppercorn Tree",17,2009,"Semi-Mature","21-30 years","Park",-37.8188071846244,144.943984193041
1440370,"Lemon Scented Gum",7,2009,"Juvenile","31-60 years","Street",-37.7922418749138,144.927744366984
1359202,"London Plane",12,2009,"Juvenile","31-60 years","Street",-37.8196066601691,144.944224202856
1288727,"Japanese Zelkova",8,2008,"Juvenile","11-20 years","Street",-37.8457616682892,144.984794802772
